,846
 4.5.3,18
 4.5.7,6
 4.5.6,6
 4.5.2,8
 3.5.1,24
 3.5.2,6
 4.3.6,2
 4.3.1,6
 3.2.1,2
 4.3.8,4
 3.1.2,2
 3.1.3,4
 3.1.4,4
 4.5.4,4
 2.7,2
 4.2.17,6
 4.1.7,4
 4.1.4,2
 4.1.1,8
 5.0,2
 4.1.8,2
 4.7.1,4
 4.7.3,36
 4.7.2,22
 4.7.5,40
 4.7.4,18
 4.7.7,6
 4.7.6,12
 4.7.8,478
 3.8.1,4
 3.8.2,2
 3.4.1,6
 3.4.2,10
 4.3.14,80
 3.6.1,6
 4.0.1,2
 3.0.5,2
 3.0.4,2
 3.0.1,4
 3.0.3,2
 3.0.2,2
 4.2.12,2
 3.5,4
 3.4,6
 3.6,2
 4.2.18,60
 3.9.22,16
 4.0.21,22
 4.0.20,2
 4.4.10,2
 4.4.13,142
 4.1.17,2
 4.1.10,2
 3.7.24,10
 2.9.1,4
 4.5.12,122
 4.5.11,2
 4.5.10,2
 4.2.3,2
 4.8.2,20
 4.8.3,28
 4.8.1,28
 4.8.4,522
 4.4.9,2
 4.4.7,6
 4.4.5,2
 4.4.2,12
 4.4.3,2
 4.4.1,2
 3.3.2,2
 3.3.3,2
 4.2.2,18
 3.3.1,6
 4.2.5,2
 3.8.24,18
 4.1.20,2
 4.1.21,56
 4.2,2
 4.3,2
 4.0,8
 4.1,10
 4.6,8
 4.7,8
 4.0.4,2
 4.0.5,2
 4.8,26
 4.9,12
 3.8.15,4
 4.6.6,4
 4.6.8,2
 4.6.9,184
 4.6.4,2
 3.9.1,2
 3.9.2,6
 4.6.1,14
 4.9.1,554
 4.6.3,4
